country,year,date,confirmed_case,recovered_case,recovered_percent
Honduras,2021,2021-05-29,236952,84389,35.614386035990414
Hungary,2020,2020-12-31,322514,150102,46.541235419237616
Hungary,2021,2021-05-29,804032,692248,86.0970707633527
Iceland,2020,2020-12-31,5754,5578,96.94125825512687
Iceland,2021,2021-05-29,6555,6476,98.79481311975591
India,2020,2020-12-31,10266674,9883461,96.26740851029261
India,2021,2021-05-29,27894800,25454320,91.25112924272625
Indonesia,2020,2020-12-31,743198,611097,82.22532891638568
Indonesia,2021,2021-05-29,1809926,1659974,91.71502039309894
Iran,2020,2020-12-31,1225142,988833,80.71170525539081
Iran,2021,2021-05-29,2893218,2425033,83.81784573440369
Iraq,2020,2020-12-31,595291,537841,90.34925775797046
Iraq,2021,2021-05-29,1193608,1107101,92.75247820054825
Ireland,2020,2020-12-31,91779,23364,25.456803844016605
Ireland,2021,2021-05-29,254870,23364,9.167026327147173
Israel,2020,2020-12-31,423262,376322,88.90994230523883
Israel,2021,2021-05-29,839453,832539,99.17636842086453
Italy,2020,2020-12-31,2107166,1463111,69.43501366290079
Italy,2021,2021-05-29,4213055,3845087,91.26600530968621
Jamaica,2020,2020-12-31,12827,10383,80.94644110080299
Jamaica,2021,2021-05-29,48374,24866,51.403646587009554
Japan,2020,2020-12-31,235811,191295,81.12216987333076
Japan,2021,2021-05-29,742539,666786,89.79811161433945
Jordan,2020,2020-12-31,294494,270551,91.8697834251292
Jordan,2021,2021-05-29,734659,713902,97.1746075390079
Kazakhstan,2020,2020-12-31,201196,175558,87.25720193244399
Kazakhstan,2021,2021-05-29,438715,402272,91.69324048642056
Kenya,2020,2020-12-31,96458,78737,81.6282734454374
Kenya,2021,2021-05-29,170485,116133,68.11918937149896
Kiribati,2020,2020-12-31,0,0,
Kiribati,2021,2021-05-29,2,0,0.0
"Korea, South",2020,2020-12-31,61769,42953,69.538117826094
"Korea, South",2021,2021-05-29,139910,130381,93.18919305267673
Kosovo,2020,2020-12-31,51144,40989,80.14429845143125
Kosovo,2021,2021-05-29,106946,102303,95.65855665476035
Kuwait,2020,2020-12-31,150584,146517,97.29918185198959
Kuwait,2021,2021-05-29,306717,291521,95.04559577721483
Kyrgyzstan,2020,2020-12-31,81034,75918,93.68660068613175
Kyrgyzstan,2021,2021-05-29,104222,98000,94.03005123678302
Laos,2020,2020-12-31,41,40,97.5609756097561
Laos,2021,2021-05-29,1908,1402,73.48008385744235
